sample_id,audio_file,recording_url,year,grand_prix,country,location,meeting_key,session_key,session_type,session_name,driver_number,driver_name,team_name,lap,lap_time,sector_1,sector_2,sector_3,i1_speed,i2_speed,top_speed,is_pit_out_lap,radio_time,lap_start_time,radio_to_lap_start_seconds,tyre_compound,tyre_age,stint_number,position,gap_to_leader,interval,air_temperature,track_temperature,humidity,wind_speed,rainfall,quality_score
2024_1229_9472_1_lap_16_radio_009,2024_1229_9472_1_lap_16_radio_009.mp3,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/MAXVER01_1_20240302_152825.mp3,2024,Sakhir,Bahrain,Sakhir,1229,9472,Race,Race,1,Max VERSTAPPEN,Red Bull Racing,16,97.168,31.048,42.032,24.088,233,260,292,False,2024-03-02T15:28:37.759000+00:00,2024-03-02T15:27:57.507000+00:00,40.252,SOFT,18,1,,,,18.1,23.2,50.0,0.4,0,100
2024_1229_9472_63_lap_16_radio_010,2024_1229_9472_63_lap_16_radio_010.mp3,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/GEORUS01_63_20240302_152906.mp3,2024,Sakhir,Bahrain,Sakhir,1229,9472,Race,Race,63,George RUSSELL,Mercedes,16,96.683,31.03,42.084,23.569,227,257,295,False,2024-03-02T15:29:12.881000+00:00,2024-03-02T15:28:30.769000+00:00,42.112,HARD,4,2,,,,18.1,23.2,50.0,0.4,0,100
2024_1229_9472_44_lap_25_radio_011,2024_1229_9472_44_lap_25_radio_011.mp3,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/LEWHAM01_44_20240302_154349.mp3,2024,Sakhir,Bahrain,Sakhir,1229,9472,Race,Race,44,Lewis HAMILTON,Mercedes,25,96.919,31.037,42.09,23.792,234,254,297,False,2024-03-02T15:44:03.644000+00:00,2024-03-02T15:43:12.785000+00:00,50.859,HARD,12,2,,,,18.1,23.0,49.0,0.7,0,100
2024_1229_9472_44_lap_32_radio_012,2024_1229_9472_44_lap_32_radio_012.mp3,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/LEWHAM01_44_20240302_155511.mp3,2024,Sakhir,Bahrain,Sakhir,1229,9472,Race,Race,44,Lewis HAMILTON,Mercedes,32,97.325,31.076,42.235,24.014,234,260,298,False,2024-03-02T15:55:31.213000+00:00,2024-03-02T15:54:31.271000+00:00,59.942,HARD,19,2,,,,18.0,22.7,49.0,0.8,0,100
2024_1229_9472_44_lap_34_radio_013,2024_1229_9472_44_lap_34_radio_013.mp3,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/LEWHAM01_44_20240302_155853.mp3,2024,Sakhir,Bahrain,Sakhir,1229,9472,Race,Race,44,Lewis HAMILTON,Mercedes,34,114.974,50.966,40.903,23.105,232,257,219,True,2024-03-02T15:58:56.830000+00:00,2024-03-02T15:57:48.320000+00:00,68.51,HARD,0,3,,,,17.9,22.7,49.0,0.0,0,85
2024_1229_9472_1_lap_36_radio_014,2024_1229_9472_1_lap_36_radio_014.mp3,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/MAXVER01_1_20240302_160119.mp3,2024,Sakhir,Bahrain,Sakhir,1229,9472,Race,Race,1,Max VERSTAPPEN,Red Bull Racing,36,96.205,30.794,41.561,23.85,,263,297,False,2024-03-02T16:01:47.991000+00:00,2024-03-02T16:00:16.699000+00:00,91.292,HARD,18,2,,,,18.0,22.6,50.0,0.7,0,100
2024_1229_9472_1_lap_38_radio_015,2024_1229_9472_1_lap_38_radio_015.mp3,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/MAXVER01_1_20240302_160428.mp3,2024,Sakhir,Bahrain,Sakhir,1229,9472,Race,Race,1,Max VERSTAPPEN,Red Bull Racing,38,116.445,51.526,41.562,23.357,236,258,217,True,2024-03-02T16:04:38.300000+00:00,2024-03-02T16:03:32.041000+00:00,66.259,SOFT,0,3,,,,17.9,22.6,50.0,0.4,0,85
2024_1229_9472_44_lap_40_radio_016,2024_1229_9472_44_lap_40_radio_016.mp3,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/LEWHAM01_44_20240302_160858.mp3,2024,Sakhir,Bahrain,Sakhir,1229,9472,Race,Race,44,Lewis HAMILTON,Mercedes,40,95.041,30.443,41.198,23.4,235,260,296,False,2024-03-02T16:09:13.717000+00:00,2024-03-02T16:07:39.415000+00:00,94.302,HARD,6,3,,,,17.9,22.4,50.0,0.4,0,100
2024_1229_9472_44_lap_44_radio_017,2024_1229_9472_44_lap_44_radio_017.mp3,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/LEWHAM01_44_20240302_161410.mp3,2024,Sakhir,Bahrain,Sakhir,1229,9472,Race,Race,44,Lewis HAMILTON,Mercedes,44,95.169,30.494,41.229,23.446,,262,,False,2024-03-02T16:14:19.759000+00:00,2024-03-02T16:13:59.266000+00:00,20.493,HARD,10,3,,,,17.9,22.2,50.0,0.6,0,95
2024_1229_9472_44_lap_49_radio_018,2024_1229_9472_44_lap_49_radio_018.mp3,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/LEWHAM01_44_20240302_162302.mp3,2024,Sakhir,Bahrain,Sakhir,1229,9472,Race,Race,44,Lewis HAMILTON,Mercedes,49,95.914,30.616,41.819,23.479,,261,297,False,2024-03-02T16:23:26.889000+00:00,2024-03-02T16:21:56.388000+00:00,90.501,HARD,15,3,,,,17.7,21.9,51.0,0.5,0,100
2024_1230_9480_63_lap_03_radio_002,2024_1230_9480_63_lap_03_radio_002.mp3,https://livetiming.formula1.com/static/2024/2024-03-09_Saudi_Arabian_Grand_Prix/2024-03-09_Race/TeamRadio/GEORUS01_63_20240309_170809.mp3,2024,Jeddah,Saudi Arabia,Jeddah,1230,9480,Race,Race,63,George RUSSELL,Mercedes,3,95.219,35.737,29.727,29.755,,316,327,False,2024-03-09T17:08:35.516000+00:00,2024-03-09T17:07:15.135000+00:00,80.381,MEDIUM,2,1,,,,25.4,31.7,62.0,1.5,0,100
2024_1230_9480_44_lap_17_radio_003,2024_1230_9480_44_lap_17_radio_003.mp3,https://livetiming.formula1.com/static/2024/2024-03-09_Saudi_Arabian_Grand_Prix/2024-03-09_Race/TeamRadio/LEWHAM01_44_20240309_173238.mp3,2024,Jeddah,Saudi Arabia,Jeddah,1230,9480,Race,Race,44,Lewis HAMILTON,Mercedes,17,94.811,35.564,29.468,29.779,,310,316,False,2024-03-09T17:32:21.292000+00:00,2024-03-09T17:32:20.976000+00:00,0.316,MEDIUM,16,1,,,,25.6,31.1,61.0,0.8,0,100
2024_1230_9480_44_lap_37_radio_004,2024_1230_9480_44_lap_37_radio_004.mp3,https://livetiming.formula1.com/static/2024/2024-03-09_Saudi_Arabian_Grand_Prix/2024-03-09_Race/TeamRadio/LEWHAM01_44_20240309_180343.mp3,2024,Jeddah,Saudi Arabia,Jeddah,1230,9480,Race,Race,44,Lewis HAMILTON,Mercedes,37,109.485,51.107,29.127,29.251,289,306,310,True,2024-03-09T18:04:12.528000+00:00,2024-03-09T18:03:40.377000+00:00,32.151,SOFT,3,2,,,,25.5,30.4,64.0,0.6,0,85
2024_1230_9480_44_lap_40_radio_005,2024_1230_9480_44_lap_40_radio_005.mp3,https://livetiming.formula1.com/static/2024/2024-03-09_Saudi_Arabian_Grand_Prix/2024-03-09_Race/TeamRadio/LEWHAM01_44_20240309_180820.mp3,2024,Jeddah,Saudi Arabia,Jeddah,1230,9480,Race,Race,44,Lewis HAMILTON,Mercedes,40,92.37,34.188,28.938,29.244,,310,314,False,2024-03-09T18:08:47.480000+00:00,2024-03-09T18:08:33.896000+00:00,13.584,SOFT,6,2,,,,25.5,30.4,64.0,0.7,0,100
